,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,yellowknife,20,CA,1547427600,67,62.45,-114.38,240.15,2.6
1,san quintin,0,PH,1547432076,63,17.54,120.52,299.778,1.57
2,mataura,36,NZ,1547432076,78,-46.19,168.86,290.028,3.37
3,narrabri,32,AU,1547427600,20,-30.33,149.78,307.15,4.6
4,saint george,0,GR,1547430600,80,39.45,22.34,272.15,2.6
5,ancud,0,CL,1547427600,76,-41.87,-73.83,285.15,2.1
6,cape town,0,ZA,1547431200,87,-33.93,18.42,287.15,2.6
7,mar del plata,0,AR,1547432078,65,-46.43,-67.52,288.378,2.49
8,mount isa,0,AU,1547429400,23,-20.73,139.49,310.15,4.6
9,avarua,40,CK,1547427600,70,-21.21,-159.78,303.15,4.1
10,ucluelet,20,CA,1547427600,93,48.94,-125.55,280.15,1.0
11,hobart,0,AU,1547429400,33,-42.88,147.33,297.15,6.2
12,basoko,64,CD,1547432080,98,1.23,23.61,294.828,2.37
13,north bend,1,US,1547430960,68,43.41,-124.22,283.75,4.6
14,codrington,75,AU,1547427600,48,-28.95,153.24,303.15,4.6
15,toksovo,75,RU,1547429400,100,60.16,30.53,270.15,5.0
16,port alfred,88,ZA,1547432081,98,-33.59,26.89,292.378,3.17
17,micheweni,64,TZ,1547432081,100,-4.97,39.83,300.728,4.82
18,santiago,40,CL,1547427600,56,-33.44,-70.65,293.15,4.1
19,ust-ilimsk,48,RU,1547432082,38,57.96,102.73,248.828,3.32
20,atuona,100,PF,1547432083,100,-9.8,-139.03,300.528,6.57
21,busselton,0,AU,1547432083,92,-33.64,115.35,294.278,5.64
22,hasaki,20,JP,1547429400,45,35.73,140.83,281.15,6.2
23,salalah,0,OM,1547430600,77,17.01,54.1,293.15,2.1
24,butaritari,80,KI,1547432084,100,3.07,172.79,302.028,6.79
25,grand gaube,75,MU,1547431200,78,-20.01,57.66,299.15,4.1
26,ushuaia,75,AR,1547427600,75,-54.81,-68.31,281.15,12.3
27,cartagena,0,ES,1547429400,70,37.63,-1.0,279.15,4.6
28,loandjili,40,CG,1547427600,88,-4.77,11.87,300.15,1.5
29,komsomolskiy,76,RU,1547432086,84,67.55,63.78,257.978,5.39
30,port elizabeth,90,US,1547430960,66,39.31,-74.98,273.15,7.2
31,bluff,0,AU,1547432087,39,-23.58,149.07,306.328,5.79
32,kushiro,20,JP,1547431200,53,43.11,144.15,269.15,0.5
33,vaini,0,IN,1547427600,93,15.34,74.49,286.15,2.64
34,chuy,92,UY,1547432088,98,-33.69,-53.46,295.028,4.87
35,jamestown,0,AU,1547432089,51,-33.21,138.6,306.978,3.62
36,qaanaaq,0,GL,1547432089,100,77.48,-69.36,241.378,4.94
37,pangody,80,RU,1547432089,78,65.85,74.49,264.928,7.07
38,te anau,8,NZ,1547432090,60,-45.41,167.72,290.278,2.14
39,carnarvon,0,ZA,1547432090,65,-30.97,22.13,283.628,2.47
40,puerto ayora,88,EC,1547431944,99,-0.74,-90.35,297.928,3.14
41,punta arenas,40,CL,1547427600,61,-53.16,-70.91,283.15,7.7
42,grants,90,US,1547429700,92,35.15,-107.85,273.15,4.1
43,bredasdorp,88,ZA,1547431200,68,-34.53,20.04,292.15,0.5
44,nikolskoye,75,RU,1547429400,100,59.7,30.79,270.15,5.0
45,saint-philippe,1,CA,1547430900,78,45.36,-73.48,260.15,1.0
46,christchurch,48,NZ,1547431200,76,-43.53,172.64,287.15,11.3
47,new norfolk,0,AU,1547429400,33,-42.78,147.06,297.15,6.2
48,auki,0,NG,1547432155,35,12.18,6.51,288.478,4.67
49,ribeira grande,76,PT,1547432155,100,38.52,-28.7,289.428,5.52
50,airai,48,TL,1547432155,70,-8.93,125.41,299.828,0.67
51,wick,75,GB,1547430960,75,51.45,-2.43,281.15,6.2
52,hermanus,76,ZA,1547432156,96,-34.42,19.24,285.678,1.22
53,basco,90,US,1547430900,86,40.33,-91.2,271.15,2.37
54,rikitea,88,PF,1547432157,97,-23.12,-134.97,299.928,5.57
55,alofi,0,NU,1547431200,70,-19.06,-169.92,303.15,5.1
56,mandalgovi,0,MN,1547432157,61,45.76,106.27,254.328,4.64
57,torbay,90,CA,1547427600,68,47.66,-52.73,269.15,9.3
58,husavik,8,CA,1547432158,79,50.56,-96.99,262.128,3.54
59,pangkalanbuun,32,ID,1547432159,100,-2.68,111.62,300.828,1.92
60,kahului,40,US,1547427360,53,20.89,-156.47,301.45,3.1
61,port said,0,EG,1547432160,72,25.34,30.55,274.178,1.27
62,esperance,20,TT,1547427600,73,10.24,-61.45,297.15,2.17
63,nanortalik,80,GL,1547432161,96,60.14,-45.24,271.228,10.44
64,gweta,64,BW,1547432162,85,-20.21,25.26,294.378,2.97
65,saskylakh,0,RU,1547432163,0,71.97,114.09,223.978,3.54
66,arraial do cabo,0,BR,1547431916,87,-22.97,-42.02,297.828,6.32
67,dikson,80,RU,1547432164,94,73.51,80.55,255.728,13.72
68,marsh harbour,0,BS,1547432164,100,26.54,-77.06,296.978,4.04
69,kodiak,90,US,1547430900,92,39.95,-94.76,271.45,1.34
70,nova olimpia,12,BR,1547432165,81,-14.8,-57.29,296.728,4.74
71,geraldton,90,CA,1547427600,86,49.72,-86.95,271.15,5.7
72,souillac,90,FR,1547429400,87,45.6,-0.6,283.15,5.1
73,ahipara,76,NZ,1547432166,85,-35.17,173.16,292.828,8.19
74,kindu,92,CD,1547432166,93,-2.95,25.92,295.378,1.02
75,kushima,40,JP,1547431200,54,31.5,131.29,286.15,2.1
76,alihe,64,CN,1547432167,72,50.57,123.73,258.228,1.59
77,georgetown,40,GY,1547427600,78,6.8,-58.16,299.15,4.1
78,waitati,20,NZ,1547432168,81,-45.75,170.57,288.828,6.22
79,castro,0,CL,1547431200,87,-42.48,-73.76,282.15,2.1
80,beaverlodge,75,CA,1547427600,92,55.21,-119.43,266.15,3.1
81,ngunguru,68,NZ,1547432169,91,-35.62,174.5,294.528,6.22
82,edson,1,CA,1547429220,100,53.59,-116.44,268.15,1.07
83,provideniya,90,RU,1547429400,71,64.42,-173.23,257.15,9.0
84,comodoro rivadavia,0,AR,1547431200,54,-45.87,-67.48,288.15,1.0
85,tasiilaq,24,GL,1547430600,85,65.61,-37.64,263.15,3.1
86,cherskiy,20,RU,1547432171,0,68.75,161.3,239.278,1.24
87,port maria,20,JM,1547431200,73,18.37,-76.89,298.15,2.1
88,thompson,5,CA,1547427600,84,55.74,-97.86,258.15,3.1
89,hithadhoo,56,MV,1547432233,100,-0.6,73.08,300.578,3.02
90,albany,20,US,1547431020,63,42.65,-73.75,262.55,2.6
91,venado tuerto,76,AR,1547432233,98,-33.75,-61.97,293.578,2.62
92,caravelas,76,BR,1547432234,100,-17.73,-39.27,299.878,5.57
93,victoria,75,BN,1547429400,79,5.28,115.24,302.15,1.5
94,ranong,20,TH,1547427600,88,9.96,98.62,299.15,1.0
95,yulara,0,AU,1547427600,11,-25.24,130.99,313.15,7.2
96,constitucion,5,MX,1547430540,26,23.99,-104.67,288.15,2.1
97,pevek,0,RU,1547432236,55,69.7,170.27,237.778,0.89
98,fortuna,0,ES,1547429400,71,38.18,-1.13,284.15,4.6
99,vao,88,EE,1547432237,94,59.1,26.19,272.428,3.32
100,bethel,90,US,1547428260,93,60.79,-161.76,275.15,4.6
101,mustasaari,88,FI,1547430600,85,63.17,21.67,269.15,3.1
102,pimentel,80,BR,1547432238,98,-3.7,-45.5,295.378,1.34
103,atherton,90,GB,1547430600,81,53.52,-2.49,280.15,6.7
104,itarema,44,BR,1547432239,95,-2.92,-39.92,296.278,1.94
105,moissala,8,TD,1547432239,39,8.34,17.77,292.328,4.07
106,trinidad,92,UY,1547432191,98,-33.52,-56.9,293.778,2.72
107,vila velha,20,BR,1547431200,83,-3.71,-38.6,300.15,1.0
108,sobolevo,92,RU,1547432241,95,54.43,31.9,273.028,7.22
109,calbuco,0,CL,1547431200,81,-41.77,-73.13,284.15,3.6
110,miyako,40,JP,1547431200,76,33.63,130.94,284.15,1.0
111,lima,40,PE,1547431200,83,-12.06,-77.04,296.15,6.2
112,peniche,0,PT,1547429400,70,39.36,-9.38,282.15,3.6
113,dryden,90,CA,1547430180,92,49.79,-92.84,268.15,5.7
114,umea,75,SE,1547430600,85,63.83,20.26,267.15,2.6
115,oum hadjer,8,TD,1547432244,23,13.3,19.7,291.528,4.52
116,alice springs,0,AU,1547429400,11,-23.7,133.88,313.15,7.2
117,oyama,20,JP,1547431200,36,36.31,139.8,282.15,4.1
118,cabedelo,20,BR,1547431200,94,-6.97,-34.84,298.15,1.5
119,sioux lookout,90,CA,1547430180,92,50.1,-91.92,269.15,5.7
120,padang,20,ID,1547429400,83,-0.92,100.36,301.15,1.0
121,saldanha,0,PT,1547432220,80,41.42,-6.55,267.028,1.24
122,faya,0,SA,1547431200,47,18.39,42.45,286.15,2.1
123,indiana,90,US,1547430960,92,40.62,-79.15,269.15,2.6
124,ponta do sol,44,BR,1547432248,94,-20.63,-46.0,291.728,1.47
125,klaksvik,20,FO,1547430600,100,62.23,-6.59,273.15,4.6
126,taonan,36,CN,1547432310,59,45.34,122.78,265.078,3.49
127,mahebourg,75,MU,1547431200,78,-20.41,57.7,299.15,4.1
128,vazante,44,BR,1547432310,87,-17.99,-46.9,294.228,0.49
129,teofilo otoni,64,BR,1547432311,76,-17.86,-41.51,296.478,4.37
130,changli,68,CN,1547432311,100,30.54,105.42,279.828,1.97
131,bayji,0,IQ,1547432311,53,34.93,43.49,280.128,3.07
132,jizan,0,SA,1547431200,73,16.89,42.56,297.15,3.1
133,adrar,0,DZ,1547427600,41,27.87,-0.29,279.15,3.6
134,upernavik,24,GL,1547432312,100,72.79,-56.15,249.228,2.02
135,tuktoyaktuk,40,CA,1547427600,74,69.44,-133.03,242.15,9.8
136,verkhnevilyuysk,20,RU,1547432313,37,63.45,120.31,241.878,2.94
137,hokitika,0,NZ,1547432313,81,-42.72,170.96,291.228,3.49
